$ ./mooney-1.py --filename /home/sean/Downloads/workbooks/project-1.csv -n 8 --population_size 100 --minimum_iterations 20
Running the genetic algorithm...
Iteration: 00 | Fittest:  -454.1 (2.2s)
Iteration: 01 | Fittest:  -375.1 (4.5s)
Iteration: 02 | Fittest:  -293.7 (4.3s)
Iteration: 03 | Fittest:  -241.5 (4.3s)
Iteration: 04 | Fittest:  -220.2 (4.2s)
Iteration: 05 | Fittest:  -173.7 (4.3s)
Iteration: 06 | Fittest:  -170.6 (4.2s)
Iteration: 07 | Fittest:  -134.0 (4.3s)
Iteration: 08 | Fittest:  -118.1 (4.3s)
Iteration: 09 | Fittest:  -112.5 (4.3s)
Iteration: 10 | Fittest:   -95.1 (4.2s)
Iteration: 11 | Fittest:   -91.0 (4.3s)
Iteration: 12 | Fittest:   -65.7 (4.2s)
Iteration: 13 | Fittest:   -59.0 (4.3s)
Iteration: 14 | Fittest:   -54.1 (4.3s)
Iteration: 15 | Fittest:   -40.2 (4.3s)
Iteration: 16 | Fittest:   -38.5 (4.3s)
Iteration: 17 | Fittest:   -31.0 (4.2s)
Iteration: 18 | Fittest:   -32.5 (4.2s) - previous iteration is lower, staying with -31.0
Iteration: 19 | Fittest:   -24.1 (4.3s)
Iteration: 20 | Fittest:   -25.9 (4.2s) - previous iteration is lower, staying with -24.1
Iteration: 21 | Fittest:   -19.8 (4.3s)
Iteration: 22 | Fittest:   -15.5 (4.2s)
Iteration: 23 | Fittest:   -13.4 (4.2s)
Iteration: 24 | Fittest:    -8.7 (4.2s)
Iteration: 25 | Fittest:    -8.1 (4.2s)
Iteration: 26 | Fittest:   -10.6 (4.3s) - previous iteration is lower, staying with -8.1
Iteration: 27 | Fittest:   -17.9 (4.3s) - previous iteration is lower, staying with -8.1
Iteration: 28 | Fittest:    -5.3 (4.3s)
Iteration: 29 | Fittest:    -5.1 (4.3s)
Iteration: 30 | Fittest:    -4.4 (4.3s)
Iteration: 31 | Fittest:    -1.0 (4.3s)
Iteration: 32 | Fittest:    -7.4 (4.2s) - previous iteration is lower, staying with -1.0
Iteration: 33 | Fittest:    -1.9 (4.3s) - previous iteration is lower, staying with -1.0
Iteration: 34 | Fittest:    -6.6 (4.3s) - previous iteration is lower, staying with -1.0
Iteration: 35 | Fittest:     3.1 (4.3s) - previous iteration is lower, staying with -1.0
Iteration: 36 | Fittest:    -6.4 (4.3s) - previous iteration is lower, staying with -1.0
Iteration: 37 | Fittest:    -4.7 (4.3s) - previous iteration is lower, staying with -1.0
Iteration: 38 | Fittest:    -0.7 (4.3s)
Iteration: 39 | Fittest:    -0.9 (4.3s) - previous iteration is lower, staying with -0.7
Iteration: 40 | Fittest:    -3.1 (4.3s) - previous iteration is lower, staying with -0.7
Iteration: 41 | Fittest:    -8.4 (4.3s) - previous iteration is lower, staying with -0.7
Iteration: 42 | Fittest:     0.5 (4.5s)
Iteration: 43 | Fittest:     2.0 (4.8s) - previous iteration is lower, staying with 0.5
Iteration: 44 | Fittest:    -6.7 (5.0s) - previous iteration is lower, staying with 0.5
Iteration: 45 | Fittest:    -2.6 (4.6s) - previous iteration is lower, staying with 0.5
Iteration: 46 | Fittest:     0.4 (5.0s)
Iteration: 47 | Fittest:    -4.5 (6.4s) - previous iteration is lower, staying with 0.4
Iteration: 48 | Fittest:    -8.0 (4.9s) - previous iteration is lower, staying with 0.4
Iteration: 49 | Fittest:   -12.2 (5.0s) - previous iteration is lower, staying with 0.4
Iteration: 50 | Fittest:    -2.7 (4.9s) - previous iteration is lower, staying with 0.4
Iteration: 51 | Fittest:    -3.1 (4.8s) - previous iteration is lower, staying with 0.4
Iteration: 52 | Fittest:     0.2 (4.4s)
Iteration: 53 | Fittest:    -4.3 (4.8s) - previous iteration is lower, staying with 0.2
Iteration: 54 | Fittest:    -2.7 (4.6s) - previous iteration is lower, staying with 0.2
Iteration: 55 | Fittest:     6.8 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 56 | Fittest:    -3.0 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 57 | Fittest:    -6.4 (4.6s) - previous iteration is lower, staying with 0.2
Iteration: 58 | Fittest:    -6.9 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 59 | Fittest:     4.6 (4.7s) - previous iteration is lower, staying with 0.2
Iteration: 60 | Fittest:     1.5 (4.4s) - previous iteration is lower, staying with 0.2
Iteration: 61 | Fittest:    -5.5 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 62 | Fittest:    -1.2 (4.4s) - previous iteration is lower, staying with 0.2
Iteration: 63 | Fittest:     1.8 (4.8s) - previous iteration is lower, staying with 0.2
Iteration: 64 | Fittest:    -4.9 (4.6s) - previous iteration is lower, staying with 0.2
Iteration: 65 | Fittest:    -2.2 (4.7s) - previous iteration is lower, staying with 0.2
Iteration: 66 | Fittest:    11.1 (4.4s) - previous iteration is lower, staying with 0.2
Iteration: 67 | Fittest:    -5.8 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 68 | Fittest:     5.0 (4.4s) - previous iteration is lower, staying with 0.2
Iteration: 69 | Fittest:    -5.1 (4.5s) - previous iteration is lower, staying with 0.2
Iteration: 70 | Fittest:    -2.8 (4.4s) - previous iteration is lower, staying with 0.2
Iteration: 71 | Fittest:    -0.4 (4.3s) - previous iteration is lower, staying with 0.2
Convergence criteria met!
Overall error: 1.98
