Running the genetic algorithm...
Iteration:   0 | Fittest: -1121.6 (1.4s)
Iteration:   1 | Fittest:  -933.9 (2.8s)
Iteration:   2 | Fittest:  -772.2 (2.9s)
Iteration:   3 | Fittest:  -635.5 (2.8s)
Iteration:   4 | Fittest:  -383.2 (2.8s)
Iteration:   5 | Fittest:  -372.0 (2.8s)
Iteration:   6 | Fittest:  -296.2 (2.8s)
Iteration:   7 | Fittest:  -295.6 (2.8s)
Iteration:   8 | Fittest:  -263.1 (2.8s)
Iteration:   9 | Fittest:  -260.5 (2.8s)
Iteration:  10 | Fittest:  -227.6 (2.8s)
Iteration:  11 | Fittest:  -218.3 (2.8s)
Iteration:  12 | Fittest:  -213.5 (3.0s)
Iteration:  13 | Fittest:  -180.6 (2.9s)
Iteration:  14 | Fittest:  -187.8 (2.8s) - previous iteration is lower, staying with -180.6
Iteration:  15 | Fittest:  -181.2 (2.8s) - previous iteration is lower, staying with -180.6
Iteration:  16 | Fittest:  -171.4 (2.8s)
Iteration:  17 | Fittest:  -153.0 (2.8s)
Iteration:  18 | Fittest:  -148.3 (2.8s)
Iteration:  19 | Fittest:  -162.1 (2.8s) - previous iteration is lower, staying with -148.3
Iteration:  20 | Fittest:  -174.5 (2.8s) - previous iteration is lower, staying with -148.3
Iteration:  21 | Fittest:  -169.0 (2.8s) - previous iteration is lower, staying with -148.3
Iteration:  22 | Fittest:  -152.0 (2.8s) - previous iteration is lower, staying with -148.3
Iteration:  23 | Fittest:  -141.4 (2.8s)
Iteration:  24 | Fittest:  -153.3 (2.8s) - previous iteration is lower, staying with -141.4
Iteration:  25 | Fittest:  -138.0 (2.8s)
Iteration:  26 | Fittest:  -142.3 (2.8s) - previous iteration is lower, staying with -138.0
Iteration:  27 | Fittest:  -138.0 (2.9s) - previous iteration is lower, staying with -138.0
Iteration:  28 | Fittest:  -136.8 (3.1s)
Iteration:  29 | Fittest:  -154.3 (2.8s) - previous iteration is lower, staying with -136.8
Iteration:  30 | Fittest:  -124.8 (3.0s)
Iteration:  31 | Fittest:  -142.1 (2.9s) - previous iteration is lower, staying with -124.8
Iteration:  32 | Fittest:  -116.2 (2.9s)
Iteration:  33 | Fittest:  -131.6 (3.0s) - previous iteration is lower, staying with -116.2
Iteration:  34 | Fittest:  -129.1 (2.9s) - previous iteration is lower, staying with -116.2
Iteration:  35 | Fittest:  -125.9 (2.9s) - previous iteration is lower, staying with -116.2
Iteration:  36 | Fittest:  -143.4 (3.0s) - previous iteration is lower, staying with -116.2
Iteration:  37 | Fittest:  -123.7 (2.9s) - previous iteration is lower, staying with -116.2
Iteration:  38 | Fittest:  -126.0 (2.8s) - previous iteration is lower, staying with -116.2
Iteration:  39 | Fittest:  -130.0 (2.8s) - previous iteration is lower, staying with -116.2
Iteration:  40 | Fittest:  -141.8 (2.9s) - previous iteration is lower, staying with -116.2
Iteration:  41 | Fittest:  -115.4 (2.9s)
Iteration:  42 | Fittest:  -122.1 (2.9s) - previous iteration is lower, staying with -115.4
Iteration:  43 | Fittest:  -118.5 (3.0s) - previous iteration is lower, staying with -115.4
Iteration:  44 | Fittest:  -130.5 (3.0s) - previous iteration is lower, staying with -115.4
Iteration:  45 | Fittest:  -137.3 (3.0s) - previous iteration is lower, staying with -115.4
Iteration:  46 | Fittest:  -120.4 (2.9s) - previous iteration is lower, staying with -115.4
Iteration:  47 | Fittest:  -120.9 (2.9s) - previous iteration is lower, staying with -115.4
Iteration:  48 | Fittest:  -126.8 (2.8s) - previous iteration is lower, staying with -115.4
Iteration:  49 | Fittest:  -119.8 (2.8s) - previous iteration is lower, staying with -115.4
Iteration:  50 | Fittest:  -119.1 (2.8s) - previous iteration is lower, staying with -115.4
Iteration:  51 | Fittest:  -112.4 (3.0s)
Iteration:  52 | Fittest:  -114.9 (3.2s) - previous iteration is lower, staying with -112.4
Iteration:  53 | Fittest:  -136.0 (2.9s) - previous iteration is lower, staying with -112.4
Iteration:  54 | Fittest:  -131.0 (3.0s) - previous iteration is lower, staying with -112.4
Iteration:  55 | Fittest:  -130.9 (3.0s) - previous iteration is lower, staying with -112.4
Iteration:  56 | Fittest:  -108.7 (3.3s)
Iteration:  57 | Fittest:   -89.4 (2.9s)
Iteration:  58 | Fittest:   -95.1 (2.8s) - previous iteration is lower, staying with -89.4
Iteration:  59 | Fittest:   -97.9 (2.8s) - previous iteration is lower, staying with -89.4
